Time	Open	High	Low	Close	Volume
2018-12-06 00:00:00	14.49	14.499	14.334	14.46	3149
2018-12-07 00:00:00	14.46	14.638	14.426	14.578	3035
2018-12-09 00:00:00	14.604	14.634	14.569	14.6	33
2018-12-10 00:00:00	14.599	14.623	14.469	14.523	2870
2018-12-11 00:00:00	14.526	14.712	14.503	14.562	2962
2018-12-12 00:00:00	14.559	14.786	14.532	14.733	2716
2018-12-13 00:00:00	14.73	14.798	14.67	14.735	2362
2018-12-14 00:00:00	14.735	14.741	14.485	14.535	2416
2018-12-16 00:00:00	14.571	14.571	14.517	14.555	14
2018-12-17 00:00:00	14.552	14.696	14.541	14.656	1922
2018-12-18 00:00:00	14.656	14.714	14.599	14.626	1888
2018-12-19 00:00:00	14.627	14.813	14.512	14.616	3212
